epoch,loss_d,loss_g,d_x,d_g_z1,d_g_z2
0,1.178184,1.937709,0.564306,0.235748,0.235748
1,0.936041,2.270857,0.583707,0.159225,0.159225
2,1.052326,1.033422,0.820387,0.456754,0.456754
3,1.055414,1.872148,0.534699,0.208285,0.208285
4,0.877259,1.429661,0.710996,0.309759,0.309759
5,1.134660,2.004242,0.503166,0.202360,0.202360
6,2.019266,3.260412,0.218240,0.074128,0.074128
7,0.795063,1.604367,0.653258,0.249980,0.249980
8,1.051796,1.398821,0.581352,0.307462,0.307462
9,1.151336,1.656417,0.485452,0.262068,0.262068
10,0.791835,1.545500,0.639581,0.245976,0.245976
11,1.123565,2.618711,0.415991,0.108396,0.108396
12,0.991859,2.025498,0.529283,0.189040,0.189040
13,1.104176,1.764408,0.512730,0.233193,0.233193
14,0.996097,1.714767,0.544218,0.218400,0.218400
15,0.970974,2.094289,0.519003,0.171487,0.171487
16,0.943668,1.565213,0.616357,0.281193,0.281193
17,0.885755,1.263541,0.693221,0.336702,0.336702
18,0.984738,1.248714,0.710493,0.378018,0.378018
19,0.872940,1.287858,0.749203,0.357988,0.357988
20,0.850458,1.125207,0.767060,0.376742,0.376742
21,1.110229,2.479408,0.541869,0.197834,0.197834
22,0.943404,1.523270,0.626364,0.283682,0.283682
23,0.915963,2.148196,0.567562,0.193379,0.193379
24,0.717339,1.587299,0.731999,0.274082,0.274082
